langue,signes linguistiques,vocaux,graphiques,gestuels,communication,sociolinguistique,idiome,communication,identification,langue naturelle
système,ouvert,fermé,isolé,grec ancien,histoire des sciences,modèle mathématique,axiomes,Aristote,newtonien,système nerveux
ensemble,omnis,axiomatique,théorie des ensembles,appartenance,fonder les mathématiques,mathématique,Georg Cantor,relation,Zermelo,mathématiques
éléments,relation,symétrique,ensembles,classes,théorie des ensembles usuelle,axiome extensionnalité,,,,
mathématiques,raisonnements,nombres,formes,structures,transformations,recherche,discipline,arithmétique,algèbre,
connaissances,notion,sens,langage,sciences cognitives,philosophes contemporains,gnoséologie,science,philosophie,épistémologie,
notion,connaissance,empiriques,concept,philosophie,,,,,,
connaissance,philosophie,proposition,savoir-faire,acquaintance,croyance,vraie,Edmund Gettier,vraie,Théétète,
Philosophie,grec ancien,sagesse,Antiquité,Occident, Orient,vérité,méditation,juste,beau,bien
Grec ancien,dialectes,arcadochypriote,attique,ionien-attique,Athènes antique,littérature grecque,période hellénistique,koinè,lingua franca,Antiquité
langue grecque,hellénique,forme moderne,démotique,locuteurs,Grèce,Chypre,diaspora,minoritaires,Turquie,Italie
Dialectes,latin,variété linguistique,langue naturelle,régiolecte,géolecte,dialectologie,géographie linguistique,continuum,sociolectes,sociolinguistique
Latin,langue italique,langues indo-européennes,Latium,Rome antique,langue morte,langues romanes,Italie préromaine,période républicaine,époque impériale.,Langue flexionnelle
langue italique,famille,langues indo-européennes,langues sabelliques,langues latino-falisques.,vénète,sicule,Italie,Italiques,latin,Latium
famille,communauté,individus,liens de parenté,sociétés humaines,anthropologue,Claude Lévi-Strauss,nom,domicile,solidarité,époux
Ouvert,astronomie,amas ouvert,électricité,circuit ouvert,électronique,sortie collecteur ouvert,informatique,format ouvert,système ouvert,
participe passé,mode,verbe,adjectif,langues flexionnelles,conjugue,fléchir,nom,accorder,français,
grammaire,règles qui régissent une langue,énoncés,phonétique,phonologie,orthophonie,morphologie,orthoépie,orthographe,syntaxe,
fermé,topologie,complémentaire,ouvert,géométrie,courbe,fermée,géométrie différentielle,variété,compacte,
omnis,concept,ontologie,métaphysique,sciences sociales,holisme,individualisme,méthodologique,abstraite,société,
concept,idée,abstraite,chose,désignée,mot,énoncé,signifiant,conceptualisme,art conceptuel,
proposition,délibération,grammaire,proposition,grammaire,logique mathématique,formule,variables propositionnelles,calcul des propositions,théorème,
relation,Globe,sociologie,relations humaines,psychologie,sujets,Relation familiale,communication,contact,philosophie,
album,album,album,album musical,album,Joan Jett,1983,album,Public Image Ltd,1986,
CD,données,numérique,Sony,Philips,1982,laser,micromètre,binaires,rayon,
disque optique,audio,vidéo,média amovible,polycarbonate,mémoires de masse,ISO 9660,CD,DVD,Blu-ray,
informatique,technique,industriel,traitement automatique de l'information,programmes informatiques,machines,systèmes embarqués,ordinateurs,robots,automates,
scientifique,science,méthodes scientifiques,,désuétude,charlatans,scepticisme scientifique,allégations,siècle des Lumières,sciences pures,
sciences de la nature,agroécologie,agronomie,anatomie,anthropologie,archéologie,biochimie,bioclimatologie,biogéographie,biologie,
monde,monde,foule,société mondaine,planète,Terre,l'ensemble des pays et nations,univers,meuble héraldique,boule cerclée et surmontée d'une croix,
matière,réalité,tangible,états,état solide,"liquide,",gazeux,état plasma,espace,masse,
corps,Corps de logis,corps de bâtiment,Corps,corps humain,Corps,corps,corps commutatifs,corps gauches,Corps militaire,
